time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.3800000000000008,1.44992671996,1.00711034827,0.0,4.05872450298,4.73544404817,0.0,0.213316647886,0.0994338975609,-15.8784993173,-9.34893255404,-10.5072026334,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,1,268.55140779
1.3800000000000008,1.3565541845,1.5113211389,0.0,5.01942654703,0.0392424440549,0.0,-1.07538963098,1.79348207783,-14.1659955907,-9.60446696786,-9.30168067314,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,2,271.458666201
1.4400000000000008,1.18528363937,1.62380795941,0.0,5.71574324434,0.719002496997,0.0,-2.26040907259,2.04949966389,-13.3538261175,-12.2032599589,-12.257076284,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,3,280.406228012
1.3200000000000007,-1.20302011595,-0.506731785055,0.0,2.38529590263,4.4387924694,0.0,2.53081872542,0.824528706316,-17.2315021996,-1.46209206105,-11.8106517636,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,4,254.889303378
2.0400000000000014,8.23224635964,-0.206829064193,0.0,6.20719651101,4.92825563402,0.0,1.52479305622,-0.743573213377,-7.17247892467,-0.0794657315678,-6.13941719258,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,5,364.707668116
3.660000000000003,150.0,20.422703923,300.0,0.105400914172,3.97881008521,0.0,3465.52546076,416.741417756,3997.87052178,0.00461566126408,-0.465206392822,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,6,-1403.52409976
3.1200000000000023,21.2514762232,3.92185780234,0.0,3.60644476282,2.18078762368,0.0,20.3053468075,11.5924382794,-15.1769609074,-5.87064381917,-2.03815849043,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,7,526.603176121
2.2200000000000015,19.9434060599,12.4780280184,0.0,3.09595431553,4.43042244981,0.0,21.4724314477,2.57744505005,-12.4279035933,-1.56265886026,-0.811371694203,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,8,280.588161524
2.1000000000000014,17.6868843971,-0.624457261945,0.0,0.755137668035,4.57444044052,0.0,19.3912821376,-1.86626238024,-14.9274897546,-3.78414874195,-0.83761651889,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,9,371.921485638
1.9200000000000013,16.4291158082,3.74943537486,0.0,0.108355258275,4.20224936412,0.0,18.4496410946,0.294732768181,-14.5955681362,-3.12249895372,-0.999335492296,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,10,326.177603008
1.2000000000000006,-5.30701192809,-4.25301758829,0.0,5.55777859713,0.816578249326,0.0,-7.11195495872,-5.66196025687,-17.6708280075,-28.1554812847,-28.8486556841,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,11,222.692550333
1.3800000000000008,-1.81718716624,-8.17997368962,0.0,3.69772957639,3.30129394633,0.0,-0.177219373318,-8.87545227612,-19.0294412342,-18.7722213435,-28.8379826911,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,12,256.523500361
2.0400000000000014,-5.40729771272,0.67151456689,0.0,5.95166261842,4.31612340021,0.0,0.754034801015,12.4455500146,-6.13340586677,-3.19182273275,-5.11687513088,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,13,362.481488149
2.760000000000002,12.4286690441,14.8124572978,0.0,5.1864255401,5.80948034161,0.0,12.7443514919,0.323324228818,-27.0904797683,2.15198534401,-0.0928411879128,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,14,392.731397231
1.8600000000000012,9.40029423619,5.85554897233,0.0,0.361182479999,5.4198702996,0.0,14.6426955704,1.29973788499,-11.7639629713,5.06324437974,-0.540331161039,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,15,323.040638348
2.3400000000000016,22.9461951883,-7.61465799976,0.0,4.6957139276,4.36663979948,0.0,22.1322730391,-3.00516019981,-15.8477024925,3.46203019852,-1.01622482357,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,16,356.096180585
5.0399999999999805,59.154447592,3.66044670202,69.7742278373,2.58394047034,4.3952761303,0.0,27.3701696434,1.94575276151,-9.65785846754,-28.8338307881,-0.802334510125,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,17,-1434.99259134
5.0399999999999805,-3.9211279983,22.6949331637,135.96927269,0.262193534661,0.199958357907,0.0,-4.11802754446,10.4452675411,26.2617370521,-0.0275908384987,-0.0082152856439,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,18,-1885.11864951
5.0399999999999805,-65.3514082131,9.02973903521,118.954327819,1.13304396615,1.84994886444,0.0,-32.9099052459,-4.2273901699,8.89361538864,0.234070737763,-0.00380152809564,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,19,-2101.23964659
3.3600000000000025,23.0802001106,-2.42893411742,0.0,5.7456405708,5.74288140283,0.0,18.3006351987,-14.7305689602,-15.1411167613,-28.8070655727,-0.264113465668,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,20,397.918074722
2.700000000000002,-6.71661353076,12.9750600514,0.0,0.899809371195,0.162613110427,0.0,-9.59732069254,24.2574212092,-18.7735084663,-1.63983960566,0.0333917732825,0.0,478.23865739994557,477.55242239958864,477.7745900835825,475.8779058255459,21,389.709026964
