time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.78834581304e-07,-6.11438846202e-08,10.004953381,6.28309884171,0.000317810918808,0.0,-3.2248452764e-05,-6.67747765481e-06,0.165102451889,-0.0044916389401,0.0142086552234,0.0,456.61797521188356,457.74979010666686,457.17451362007705,456.81658553663203
0.12000000000000001,-1.20146164885e-05,-3.17035002781e-06,10.0177876689,6.28294014391,0.000954693979406,0.0,-0.00043251999172,-0.000118486137998,0.262689008666,0.00081403978639,0.0022313876912,0.0,435.4957756194222,434.4928555011179,437.1290151090923,437.5708994214534
0.18,-6.00414363318e-05,-1.56488920532e-05,10.0383665697,6.28289948779,0.00115506675432,0.0,-0.00118697239796,-0.000296799108415,0.423227930252,-0.00384178980861,0.00546866942494,0.0,456.28337728008796,456.5416400619769,455.36919494489564,454.99668240717506
0.23999999999999996,-0.000161820885655,-4.17664653981e-05,10.07107988,6.2825003303,0.00165061820601,0.0,-0.00225695856352,-0.000611715397402,0.667105042548,-0.0129686841935,0.0133259012022,0.0,480.81835801827657,481.41304187217935,480.4513402535016,479.75907561318337
0.3,-0.000345493649364,-9.88532421722e-05,10.1202470945,6.28267718889,0.00250062212614,0.0,-0.00397425828728,-0.0013160361547,0.971593631191,0.0236233048753,0.0157974468612,0.0,497.69695842254464,497.8776598042299,497.0103176866532,499.68463620410176
0.36000000000000004,-0.000641020660048,-0.000181636456754,10.182238445,0.00184664054677,0.00314670229014,0.0,-0.00596311607813,-0.00123314691064,1.09467433562,0.0596624294897,-0.00190132189828,0.0,445.96240142408277,444.5144709279427,443.53908960294865,446.4893867323996
0.4200000000000001,-0.00107658290363,-0.000193718617711,10.2549451401,0.00506449711912,0.00347264081872,0.0,-0.00857142618278,0.00124886040623,1.32863869406,0.0374687614014,0.0170935583117,0.0,477.10775441344623,478.55557273363837,480.4422702744879,478.7583969545048
0.48000000000000015,-0.00165940476076,-1.62758883745e-05,10.3357187058,0.00722405309479,0.00411765864559,0.0,-0.0109373343668,0.00486946386689,1.36377055739,0.0328643136077,-0.00662402770973,0.0,418.691138543434,416.62269066342594,417.7551732007037,417.3541957738392
0.5400000000000001,-0.00239727419158,0.000429788752741,10.4200929224,0.00863846638148,0.00349400385778,0.0,-0.0136083019762,0.0101835713122,1.4485981418,-0.0111488568055,-0.0192665899434,0.0,435.28221326515427,434.2231352678268,434.9441959952117,431.2427799994488
0.6000000000000002,-0.00327991186599,0.00121274248102,10.5095379918,0.00802950843609,0.0021860015263,0.0,-0.0156903811634,0.0158503539459,1.5327957109,-0.00822159084592,-0.0274204046066,0.0,434.5376927267014,433.8536564884365,433.5910120389289,433.83696607919734
0.6600000000000003,-0.00426010437114,0.00232740793392,10.6044417651,0.00770660564665,0.000559776820898,0.0,-0.0168161854826,0.0212631355427,1.63052949666,-0.000233483255956,-0.0264779227154,0.0,438.7288465653157,438.8069027777541,437.9177481506788,438.58174414139665
0.7200000000000003,-0.0052765519629,0.00379693250051,10.7097706944,0.00761922604401,6.28267374066,0.0,-0.0169051750756,0.0277119603395,1.88005886814,-0.00402182553142,-0.00460078974644,0.0,482.7922278480822,484.43995192661254,485.596835178683,485.3126275091211
0.7800000000000004,-0.00627946948595,0.00561214122547,10.8250605736,0.00718716069864,6.28227356097,0.0,-0.0164922261074,0.032761344189,1.96279876247,-0.0144693791353,-0.0111668118389,0.0,435.54361230167046,434.99425191728005,434.8982068103509,434.02240077573026
0.8400000000000004,-0.0072432102217,0.00775386735536,10.9500954419,0.00691362121205,6.28161295391,0.0,-0.015551116095,0.0385624486269,2.20459665785,0.0101935992583,-0.0106985563283,0.0,483.0480643631674,483.0835070253756,482.74674521203195,484.6041172451129
0.9000000000000005,-0.00813536164695,0.0102404569323,11.089302405,0.00760413495434,6.28143035943,0.0,-0.0141419504293,0.0443997125009,2.43517310395,0.0140166787318,0.00902599425369,0.0,480.5748327811761,482.06758194238097,480.57412632164403,480.86367449631626
0.9600000000000005,-0.00894272461357,0.0130981573882,11.2427329906,0.00813642279264,6.28212055882,0.0,-0.0128473900689,0.0509407672845,2.6786416266,-0.00417803667831,0.016047163558,0.0,485.4256891273182,485.952126397629,486.34212212721803,484.97738543280616
1.0200000000000005,-0.00969539946255,0.0163289683928,11.4072785079,0.00835264990212,0.000536504841548,0.0,-0.0123839739341,0.05675211368,2.80590536164,0.015831664442,0.0422462007916,0.0,450.7039340247731,452.81655162183483,451.94667303074004,453.556528964091
1.0800000000000005,-0.0104597863099,0.0199133876605,11.5790135385,0.0090716997126,0.0032610922565,0.0,-0.0133689548232,0.062814180083,2.91831417154,0.00289448576739,0.0510842231503,0.0,447.5779508192819,448.2978366855422,449.1928480504918,448.142386159642
1.1400000000000006,-0.0113308026689,0.0238451281054,11.754329537,0.00875084530912,0.0067561279583,0.0,-0.0159569295628,0.0682460085123,2.92553251585,-0.0319492647043,0.0696925242151,0.0,413.3315347570764,414.9708124744499,417.2516495025073,414.19852618759927
1.2000000000000006,-0.0124097237384,0.0280747974044,11.9282696538,0.00697282854447,0.0114607648109,0.0,-0.0203640840106,0.0725975245294,2.87260449847,-0.025364431545,0.0917744949856,0.0,394.0012779422473,396.04317492080565,393.18802103862714,393.79721095052247
